PAISSUENO,PAISSUEDATE,PAISSUELINENO,SONUMBER,SOLINENO,LINECODE7,PACKID,PACKBARCODE,PACKTYPE,PAISSUEQTY
MAT.0003478790,27/08/2017,27/08/2017,4545,1,B064402,90003,1064402900039,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,2,B064403,90005,1064403900052,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,3,B064404,90005,1064404900051,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,4,B064418,90004,1064418900047,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,5,B064419,90005,1064419900053,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,6,B064420,90005,1064420900059,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,7,B064431,90006,1064431900062,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,8,B064432,90007,1064432900078,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,9,B064433,90006,1064433900060,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,10,B064434,90007,1064434900076,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,11,B064439,90007,1064439900071,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,12,B064441,90007,1064441900076,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,13,B064478,90006,1064478900063,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,14,B064479,90007,1064479900079,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,15,B110809,90009,1110809900094,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,16,B110810,90004,1110810900045,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,17,B141894,90003,1141894900034,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,18,B153096,90006,1153096900064,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,19,B153097,90007,1153097900070,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,20,B153100,90006,1153100900066,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,21,B153101,90007,1153101900072,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,22,B153110,90006,1153110900063,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,23,B153111,90007,1153111900079,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,24,B153116,90006,1153116900067,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,25,B153117,90007,1153117900073,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,26,B153146,90006,1153146900068,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,27,B153147,90007,1153147900074,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,28,B153164,90006,1153164900064,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,29,B153165,90007,1153165900070,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,30,B153172,90006,1153172900063,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,31,B153173,90007,1153173900079,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,32,B153174,90006,1153174900061,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,33,B153175,90007,1153175900077,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,34,B153180,90007,1153180900079,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,35,B153181,90007,1153181900078,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,36,B153191,90007,1153191900075,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,37,B153224,90006,1153224900065,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,38,B153225,90007,1153225900071,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,39,B290007,90005,1290007900055,B,1
MAT.0003478790,27/08/2017,27/08/2017,4545,40,B290012,90013,1290012900132,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,41,B300097,90006,1300097900061,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,42,B300098,90004,1300098900046,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,43,B362743,90005,1362743900054,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,44,B362744,90005,1362744900053,BH,1
MAT.0003478790,27/08/2017,27/08/2017,4545,45,B362776,90005,1362776900052,BH,1
